stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
MURDOVSF,1503,MURFREESBORO PIKE & DOVER GLEN DR S,MURFREESBORO & DOVERBLE,36.076775,-86.641112,,,,,,0
MURFESEN,1509,MURFREESBORO PIKE & FESSLERS LN EB,MURFREESBORO & FESSLERS LANE,36.142803,-86.744655,,,,,,0
MURFESWF,1510,MURFREESBORO PIKE & FESSLERS LN WB,,36.143158,-86.745103,,,,,,
MURFRASN,1515,MURFREESBORO PIKE & FRANKLIN LIMEST,MURFREESBORO & FRANKLIN LIMESTONE,36.094514,-86.653638,,,,,,
MURKNIEN,1522,MURFREESBORO PIKE & KNIGHT VALLEY DR EB,MURFREESBORO & MCGAVOCK,36.11292,-86.689366,0,,,,,0
MURMCGWN,1524,MURFREESBORO PIKE & MCGAVOCK PIKE WB,,36.116474,-86.697091,0,,,,,
MURMCGEF,1526,MURFREESBORO PIKE & MCGAVOCK PIKE EB,,36.11584,-86.696438,0,,,,,0
MURMLWWN,1527,MURFREESBORO PK & MILLWOOD,US HWY 41 & STATE HWY 1,36.129503,-86.714454,,,,,,1
MURMILEN,1528,MURFREESBORO PIKE & MILLWOOD DR EB,,36.129522,-86.714961,,,,,,0
MURSHISM,1529,MURFREESBORO PIKE & SHIAWAY DR SB,MURFREESBORO & MORTWAY,36.080171,-86.645483,0,,,,,
MURFRANN,1532,MURFREESBORO PIKE & FRANKLIN LIMEST,MURFREESBORO & OLD MURFREESBORO,36.094437,-86.653178,,,,,,0
MURHARWN,1551,MURFREESBORO PIKE & HARDING PL WB,1844 MURFREESBORO PIKE & HARDING PL,36.098534,-86.659101,,,,,,0
MURHAREN,1562,MURFREESBORO PIKE & HARDING PL EB,MURFREESBORO & TOWN PARK DR,36.098669,-86.659698,,,,,,
MURWILEN,1565,MURFREESBORO PIKE & WILHAGAN RD EB,MURFREESBORO & WILHAGAN ROAD,36.132429,-86.719647,,,,,,
MURWILWF,1566,MURFREESBORO PIKE & WILHAGAN RD WB,,36.132712,-86.719557,,,,,,
1SOLDSM,1574,N 1ST ST & OLDHAM ST SB,146 1ST ST N,36.172087,-86.773844,,,,,,0
1SSPRSM,1575,N 1ST ST & SPRING ST SB,252 1ST ST N,36.175614,-86.774526,0,,,,,0
NEERIVSN,1583,NEELYS BEND RD & RIVER PASS,,36.245185,-86.679192,,,,,,
NXIANTCH,1597,ANTIOCH STATION INBOUND,NOLENSVILLE & ANTIOCH,36.102326,-86.740727,,,,,,1
NOLAPRNN,1598,NOLENSVILLE PIKE & APRIL LN NB,US HWY 31 ALT & NOLENSVILLE PIKE,36.055847,-86.715456,,,,,,
NOLBRENN,1600,NOLENSVILLE PIKE & BREWER DR NB,US HWY 31 ALT & BREWER DR,36.053564,-86.714792,,,,,,
NOLEDMSF,1603,NOLENSVILLE PIKE & EDMONSON PIKE SB,4201 NOLENSVILLE PIKE & EDMONSON/WALLCE,36.076513,-86.725543,,,,,,
NOLELYNN,1605,ELYSIAN FIELDS STATION INBOUND,3904 NOLENSVILLE PIKE,36.08653,-86.729632,,,,,,1
